t-6,t-5,t-4,t-3,t-2,t-1,t,t+1
42.7,42.7,42.7,44.5,44.5,48.1,48.5,44.5
42.7,42.7,44.5,44.5,48.1,48.5,44.5,46.3
42.7,44.5,44.5,48.1,48.5,44.5,46.3,48.1
44.5,44.5,48.1,48.5,44.5,46.3,48.1,48.1
44.5,48.1,48.5,44.5,46.3,48.1,48.1,46.3
48.1,48.5,44.5,46.3,48.1,48.1,46.3,48.1
48.5,44.5,46.3,48.1,48.1,46.3,48.1,46.3
44.5,46.3,48.1,48.1,46.3,48.1,46.3,48.1
46.3,48.1,48.1,46.3,48.1,46.3,48.1,49.9
48.1,48.1,46.3,48.1,46.3,48.1,49.9,51.7
48.1,46.3,48.1,46.3,48.1,49.9,51.7,51.7
46.3,48.1,46.3,48.1,49.9,51.7,51.7,53.5
48.1,46.3,48.1,49.9,51.7,51.7,53.5,55.3
46.3,48.1,49.9,51.7,51.7,53.5,55.3,53.5
48.1,49.9,51.7,51.7,53.5,55.3,53.5,
